timestamp, index, name, memory.used [MiB]
2025/12/08 17:10:11.769, 0, NVIDIA GeForce RTX 4090, 979 MiB
2025/12/08 17:10:16.770, 0, NVIDIA GeForce RTX 4090, 990 MiB
2025/12/08 17:10:21.770, 0, NVIDIA GeForce RTX 4090, 3310 MiB
2025/12/08 17:10:26.771, 0, NVIDIA GeForce RTX 4090, 3312 MiB
2025/12/08 17:10:31.771, 0, NVIDIA GeForce RTX 4090, 3299 MiB
2025/12/08 17:10:36.771, 0, NVIDIA GeForce RTX 4090, 3294 MiB
2025/12/08 17:10:41.772, 0, NVIDIA GeForce RTX 4090, 3300 MiB
2025/12/08 17:10:46.772, 0, NVIDIA GeForce RTX 4090, 3301 MiB
2025/12/08 17:10:51.773, 0, NVIDIA GeForce RTX 4090, 3361 MiB
2025/12/08 17:10:56.773, 0, NVIDIA GeForce RTX 4090, 4537 MiB
2025/12/08 17:11:01.773, 0, NVIDIA GeForce RTX 4090, 5047 MiB
